core,TD,BD,age,CO2,d18O,dD,CH4,TAC
ALHIC2201,7.206767893728108,,,,,,749.9592135004505,
ALHIC2201,7.212748992135351,,,,,,739.3216011049294,
ALHIC2201,7.218730090542595,,,,,,728.0129721899647,
ALHIC2201,7.224711188949838,,,,,,723.0971304469468,
ALHIC2201,7.230692287357082,,,,,,718.6706054203628,
ALHIC2201,7.236673385764325,,,,,,715.6554232056689,
ALHIC2201,7.242654484171568,,,,,,706.5922791408598,
ALHIC2201,7.248635582578812,,,,,,697.9460008049396,
ALHIC2201,7.254616680986055,,,,,,693.0799005982545,
ALHIC2201,7.260597779393299,,,,,,689.4430573662152,
ALHIC2201,7.2665788778005425,,,,,,682.6819205675885,
ALHIC2201,7.272559976207786,,,,,,678.2581925615166,
ALHIC2201,7.278541074615029,,,,,,673.8028646698943,
ALHIC2201,7.284522173022272,,,,,,673.0123433,
ALHIC2201,7.2905032714295155,,,,,,671.8129927404307,
ALHIC2201,7.296484369836759,,,,,,670.3365708776183,
ALHIC2201,7.302465468244002,,,,,,670.2020428482028,
ALHIC2201,7.308446566651246,,,,,,667.0683642220578,
ALHIC2201,7.314427665058489,,,,,,664.9109849715527,
ALHIC2201,7.320408763465733,,,,,,661.6714709961325,
ALHIC2201,7.326389861872976,,,,,,661.2921344277828,
ALHIC2201,7.33237096,,,,,,660.3686682551079,
ALHIC2201,7.338352058687463,,,,,,661.6468375900075,
ALHIC2201,7.344333157094707,,,,,,660.9696150354307,
ALHIC2201,7.350314255501949,,,,,,665.3397482443514,
ALHIC2201,7.356295353909193,,,,,,672.8027384078795,
ALHIC2201,7.362276452316436,,,,,,681.4268588204853,
ALHIC2201,7.368257551,,,,,,693.9088845078077,
ALHIC2201,7.374238649130923,,,,,,706.8979961902195,
ALHIC2201,7.380219747538167,,,,,,723.8660957160658,
ALHIC2201,7.386200846,,,,,,743.7462327569511,
ALHIC2201,7.392181944352654,,,,,,756.3764379931238,
ALHIC2201,7.398163042759897,,,,,,759.2516532478389,
ALHIC2201,7.404144141167141,,,,,,755.0131984,
ALHIC2201,7.410125239574384,,,,,,747.0074708837703,
ALHIC2201,7.416106337981628,,,,,,741.8912390508751,
ALHIC2201,7.422087436388871,,,,,,727.1373527786939,
ALHIC2201,7.428068534796115,,,,,,705.3165720137562,
ALHIC2201,7.434049633203358,,,,,,679.2485271113419,
ALHIC2201,7.440030731610601,,,,,,655.1523642736239,
ALHIC2201,7.446011830017844,,,,,,629.8042038832136,
ALHIC2201,7.451992928425088,,,,,,609.9119752054105,
ALHIC2201,7.457974026832331,,,,,,590.5625611996196,
ALHIC2201,7.463955125239575,,,,,,577.2750959339643,
ALHIC2201,7.469936223646818,,,,,,567.6953564437889,
ALHIC2201,7.475917322054062,,,,,,563.8231046582256,
ALHIC2201,7.481898420461305,,,,,,561.5419224970688,
ALHIC2201,7.487879518868548,,,,,,558.5786478433968,
ALHIC2201,7.493860617275792,,,,,,554.1949835351345,
ALHIC2201,7.4998417156830355,,,,,,549.938214,
ALHIC2201,7.505822814090278,,,,,,547.4462754517748,
ALHIC2201,7.5118039124975216,,,,,,545.8061043721602,
ALHIC2201,7.517785010904765,,,,,,541.1222505780245,
ALHIC2201,7.523766109312008,,,,,,535.7599510494362,
ALHIC2201,7.529747207719252,,,,,,531.1051907247515,
